workload,region,stream,bytes,direction,reuse_count,prefetchable,can_overlap_compute,sideband,candidate_abstraction,evidence
rdt,repeated_head,weight,391118848,read,5,yes,yes,False,prefetch_weight_once,recovered_from_ir
rdt,repeated_head,activation_input,41519104,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
rdt,repeated_head,output,77030912,write,1,no,yes,False,output_commit_stream,recovered_from_ir
rdt,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
rdt,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
rdt,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
rdt,repeated_head,command_descriptor,unavailable,read,5,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
openvla,backbone_once,weight,15400960,read,1,yes,yes,False,prefetch_weight_once,recovered_from_ir
openvla,backbone_once,activation_input,466688,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
openvla,backbone_once,output,516352,write,1,no,yes,False,output_commit_stream,recovered_from_ir
openvla,backbone_once,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
openvla,backbone_once,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
openvla,backbone_once,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
openvla,backbone_once,command_descriptor,unavailable,read,1,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
openvla,repeated_head,weight,3145728,read,7,yes,yes,False,prefetch_weight_once,recovered_from_ir
openvla,repeated_head,activation_input,235520,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
openvla,repeated_head,output,409600,write,1,no,yes,False,output_commit_stream,recovered_from_ir
openvla,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
openvla,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
openvla,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
openvla,repeated_head,command_descriptor,unavailable,read,7,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
small_llama,repeated_head,weight,1712128,read,32,yes,yes,False,prefetch_weight_once,recovered_from_ir
small_llama,repeated_head,activation_input,75264,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
small_llama,repeated_head,output,93184,write,1,no,yes,False,output_commit_stream,recovered_from_ir
small_llama,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
small_llama,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
small_llama,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
small_llama,repeated_head,command_descriptor,unavailable,read,32,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
tiny_llama,repeated_head,weight,614465536,read,32,yes,yes,False,prefetch_weight_once,recovered_from_ir
tiny_llama,repeated_head,activation_input,606208,read,1,unknown,yes,False,double_buffered_activation_tile,recovered_from_ir
tiny_llama,repeated_head,output,1085440,write,1,no,yes,False,output_commit_stream,recovered_from_ir
tiny_llama,repeated_head,scale_sideband,unavailable,read,unavailable,unknown,unknown,True,scale_sideband_stream,unavailable
tiny_llama,repeated_head,kv_prefix,unavailable,unavailable,unavailable,unknown,unknown,False,kv_stream_handle,unavailable
tiny_llama,repeated_head,intermediate_writeback,unavailable,unavailable,unavailable,unknown,unknown,False,activation_ring_buffer,unavailable
tiny_llama,repeated_head,command_descriptor,unavailable,read,32,unknown,unknown,True,multi_stream_dma_descriptor,unavailable
